Date,CPU Utilization,CPU Power
2022-10-29 02:26:12,0.25126,1.92051
2022-10-29 02:26:13,0.25126,1.95192
2022-10-29 02:26:14,0.25126,1.93077
2022-10-29 02:26:15,0.25126,1.92051
2022-10-29 02:26:16,0.25126,1.91045
2022-10-29 02:26:17,0.25126,1.92051
2022-10-29 02:26:18,0.25126,1.92051
2022-10-29 02:26:19,0.25126,1.92051
2022-10-29 02:26:20,0.25000,1.91614
2022-10-29 02:26:21,0.25126,1.92051
2022-10-29 02:26:22,0.25126,1.92051
2022-10-29 02:26:23,0.25126,1.92051
2022-10-29 02:26:24,0.24874,1.90131
2022-10-29 02:26:25,0.25377,1.93972
2022-10-29 02:26:26,0.25126,1.92051
2022-10-29 02:26:27,0.25126,1.92051
2022-10-29 02:26:28,0.25000,1.89620
2022-10-29 02:26:29,0.25000,1.91584
2022-10-29 02:26:30,0.25000,1.91614
2022-10-29 02:26:31,0.25253,1.92492
2022-10-29 02:26:32,0.25126,1.92051
2022-10-29 02:26:33,0.25000,1.90608
2022-10-29 02:26:34,0.25000,1.91614
2022-10-29 02:26:35,0.25126,1.91045
2022-10-29 02:26:36,0.25253,1.92492
2022-10-29 02:26:37,0.25250,1.93530
2022-10-29 02:26:38,0.25253,1.89530
2022-10-29 02:26:39,0.25000,1.90608
2022-10-29 02:26:40,0.25000,1.90608
2022-10-29 02:26:41,0.25253,1.92492
2022-10-29 02:26:42,0.25000,1.91614
2022-10-29 02:26:43,0.25253,1.92492
2022-10-29 02:26:44,0.25126,1.92051
2022-10-29 02:26:45,0.25000,1.90608
2022-10-29 02:26:46,0.25126,1.92051
2022-10-29 02:26:47,0.25381,1.91932
2022-10-29 02:26:48,0.25126,1.92051
2022-10-29 02:26:49,0.25000,1.91614
2022-10-29 02:26:50,0.25126,1.95192
2022-10-29 02:26:51,0.25126,1.93077
2022-10-29 02:26:52,0.25000,1.90608
2022-10-29 02:26:53,0.25253,1.93519
2022-10-29 02:26:54,0.25126,1.92051
2022-10-29 02:26:55,0.25126,1.92051
2022-10-29 02:26:56,0.25126,1.92051
2022-10-29 02:26:57,0.25126,1.93077
2022-10-29 02:26:58,0.25126,1.92051
2022-10-29 02:26:59,0.24874,1.90131
2022-10-29 02:27:00,0.25253,1.92492
2022-10-29 02:27:01,0.25000,1.90608
2022-10-29 02:27:02,0.25126,1.92051
2022-10-29 02:27:03,0.25253,1.93519
2022-10-29 02:27:04,0.25000,1.90608
2022-10-29 02:27:05,0.25253,1.93519
2022-10-29 02:27:06,0.25000,1.90608
2022-10-29 02:27:07,0.25126,1.92051
2022-10-29 02:27:08,0.25126,1.92051
2022-10-29 02:27:09,0.24874,1.90131
2022-10-29 02:27:10,0.25000,1.91614
2022-10-29 02:27:11,0.25126,1.92051
2022-10-29 02:27:12,0.25126,1.92051
2022-10-29 02:27:13,0.25000,1.91614
2022-10-29 02:27:14,0.25253,1.93519
2022-10-29 02:27:15,0.25126,1.91045
2022-10-29 02:27:16,0.25250,1.93530
2022-10-29 02:27:17,0.24750,1.88702
2022-10-29 02:27:18,0.25253,1.93519
2022-10-29 02:27:19,0.25126,1.92051
2022-10-29 02:27:20,0.25253,1.93519
2022-10-29 02:27:21,0.25000,1.91614
2022-10-29 02:27:22,0.25126,1.92051
2022-10-29 02:27:23,0.25126,1.91045
2022-10-29 02:27:24,0.25126,1.92051
2022-10-29 02:27:25,0.25000,1.90608
2022-10-29 02:27:26,0.25126,1.94124
2022-10-29 02:27:27,0.25253,1.93519
2022-10-29 02:27:28,0.25126,1.93077
2022-10-29 02:27:29,0.25126,1.92051
2022-10-29 02:27:30,0.25126,1.92051
2022-10-29 02:27:31,0.25000,1.90608
2022-10-29 02:27:32,0.25126,1.92051
2022-10-29 02:27:33,0.25126,1.91045
2022-10-29 02:27:34,0.25126,1.91045
2022-10-29 02:27:35,0.25000,1.91614
2022-10-29 02:27:36,0.25126,1.92051
2022-10-29 02:27:37,0.25126,1.92051
2022-10-29 02:27:38,0.25126,1.93077
2022-10-29 02:27:39,0.25000,1.91614
2022-10-29 02:27:40,0.25253,1.92492
2022-10-29 02:27:41,0.25000,1.91614
2022-10-29 02:27:42,0.25000,1.90608
2022-10-29 02:27:43,0.25253,1.93519
2022-10-29 02:27:44,0.25126,1.92051
2022-10-29 02:27:45,0.25000,1.90608
2022-10-29 02:27:46,0.25253,1.92492
2022-10-29 02:27:47,0.25253,1.93519
