Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-30 08:39:22,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:23,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:24,0.26768,2.00902,2.00902,0.00000
2022-10-30 08:39:25,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:39:26,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:39:27,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:28,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:29,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:30,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:31,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:39:32,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:39:33,0.25250,1.95624,1.95624,0.00000
2022-10-30 08:39:34,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:39:35,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:39:36,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:39:37,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:38,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:39,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:39:40,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:39:41,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:39:42,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:43,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:44,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:45,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:39:46,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:47,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:48,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:49,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:39:50,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:39:51,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:39:52,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:39:53,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:39:54,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:39:55,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:39:56,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:39:57,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:39:58,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:39:59,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:00,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:01,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:02,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:03,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:04,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:40:05,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:06,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:40:07,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:08,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:40:09,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:10,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:40:11,0.25126,1.95192,1.95192,0.00000
2022-10-30 08:40:12,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:13,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:14,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:15,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:40:16,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:17,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:18,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:40:19,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:20,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:21,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:22,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:23,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:24,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:25,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:26,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:40:27,0.27000,2.01709,2.01709,0.00000
2022-10-30 08:40:28,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:40:29,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:30,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:31,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:40:32,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:33,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:34,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:40:35,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:36,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:37,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:40:38,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:39,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:40,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:41,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:42,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:43,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:44,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:45,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:46,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:40:47,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:40:49,0.25126,1.95192,1.95192,0.00000
2022-10-30 08:40:50,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:51,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:40:52,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:53,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:40:54,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:40:55,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:56,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:40:57,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:40:58,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:40:59,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:41:00,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:41:01,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:02,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:03,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:41:04,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:41:05,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:06,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:07,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:08,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:41:09,0.26250,1.99101,1.99101,0.00000
2022-10-30 08:41:10,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:11,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:41:12,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:13,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:41:14,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:41:15,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:16,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:17,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:41:18,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:19,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:20,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:21,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:22,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:41:23,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:24,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:41:25,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:41:26,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:27,0.25250,1.95624,1.95624,0.00000
2022-10-30 08:41:28,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:41:29,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:30,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:31,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:41:32,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:33,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:34,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:35,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:36,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:37,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:38,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:39,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:41:40,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:41:41,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:42,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:41:43,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:44,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:41:45,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:41:46,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:47,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:41:48,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:49,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:41:50,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:41:51,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:41:52,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:53,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:41:54,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:41:55,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:56,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:57,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:41:58,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:41:59,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:42:00,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:01,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:42:02,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:03,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:04,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:42:05,0.25377,1.96065,1.96065,0.00000
2022-10-30 08:42:06,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:07,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:42:08,0.26250,1.99101,1.99101,0.00000
2022-10-30 08:42:09,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:42:10,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:42:11,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:42:12,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:13,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:14,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:15,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:16,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:17,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:18,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:19,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:42:20,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:21,0.27136,2.02181,2.02181,0.00000
2022-10-30 08:42:22,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:23,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:24,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:42:25,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:26,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:42:27,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:28,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:42:29,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:30,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:31,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:42:32,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:42:33,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:34,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:35,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:42:36,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:42:37,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:38,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:39,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:42:40,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:41,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:42,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:42:43,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:42:44,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:45,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:46,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:47,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:42:48,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:49,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:50,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:51,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:42:52,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:42:53,0.26250,1.99101,1.99101,0.00000
2022-10-30 08:42:54,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:42:55,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:56,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:42:57,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:42:58,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:42:59,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:43:00,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:01,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:02,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:03,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:04,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:05,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:06,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:07,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:08,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:09,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:10,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:11,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:12,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:13,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:14,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:15,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:16,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:43:17,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:18,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:19,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:20,0.25377,1.96065,1.96065,0.00000
2022-10-30 08:43:21,0.25250,1.95624,1.95624,0.00000
2022-10-30 08:43:22,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:23,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:24,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:25,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:26,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:27,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:28,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:29,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:30,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:43:31,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:43:32,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:43:33,0.25377,1.96065,1.96065,0.00000
2022-10-30 08:43:34,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:43:35,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:36,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:37,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:43:38,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:39,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:43:40,0.26250,1.99101,1.99101,0.00000
2022-10-30 08:43:41,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:42,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:43,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:44,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:45,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:46,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:43:47,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:48,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:49,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:50,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:43:51,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:43:52,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:43:53,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:54,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:43:55,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:43:56,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:43:57,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:43:58,0.25505,1.96511,1.96511,0.00000
2022-10-30 08:43:59,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:44:00,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:01,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:02,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:03,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:44:04,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:05,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:06,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:07,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:44:08,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:09,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:10,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:44:11,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:44:12,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:13,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:14,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:15,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:16,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:17,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:18,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:44:19,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:44:20,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:21,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:44:22,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:44:23,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:24,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:25,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:44:26,0.26250,1.99101,1.99101,0.00000
2022-10-30 08:44:27,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:44:28,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:29,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:30,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:31,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:32,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:33,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:34,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:44:35,0.26500,1.99971,1.99971,0.00000
2022-10-30 08:44:36,0.25377,1.96065,1.96065,0.00000
2022-10-30 08:44:37,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:44:38,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:44:39,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:40,0.26250,1.99101,1.99101,0.00000
2022-10-30 08:44:41,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:44:42,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:43,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:44,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:44:45,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:46,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:44:47,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:44:48,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:49,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:50,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:51,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:52,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:44:53,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:44:54,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:55,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:44:56,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:44:57,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:44:58,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:44:59,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:00,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:01,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:02,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:45:03,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:04,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:05,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:45:06,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:45:07,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:45:08,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:09,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:10,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:11,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:45:12,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:13,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:45:14,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:45:15,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:45:16,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:17,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:18,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:19,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:20,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:21,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:22,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:45:23,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:45:24,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:25,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:45:26,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:27,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:28,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:29,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:30,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:31,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:45:32,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:45:33,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:45:34,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:35,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:36,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:37,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:38,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:39,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:45:40,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:45:41,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:45:42,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:43,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:44,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:45,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:46,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:45:47,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:45:48,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:45:49,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:50,0.25126,1.95192,1.95192,0.00000
2022-10-30 08:45:51,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:52,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:53,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:54,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:55,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:56,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:45:57,0.26884,2.01308,2.01308,0.00000
2022-10-30 08:45:58,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:45:59,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:00,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:01,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:46:02,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:46:03,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:46:04,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:46:05,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:46:06,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:07,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:46:08,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:46:09,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:10,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:46:11,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:12,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:13,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:46:14,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:15,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:46:16,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:46:17,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:46:18,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:19,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:20,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:46:21,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:46:22,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:46:23,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:46:24,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:46:25,0.25758,1.97389,1.97389,0.00000
